latitude,longitude,bright_ti4,scan,track,acq_date,acq_time,satellite,instrument,confidence,version,bright_ti5,frp,daynight,brightness
-30.93347,152.16298,327.43,0.44,0.38,2025-09-04,351,N,VIIRS,60,2.0NRT,287.8,4.21,D,327.43
-30.93191,152.1593,345.21,0.44,0.38,2025-09-04,351,N,VIIRS,60,2.0NRT,292.54,5.22,D,345.21
-30.93079,152.15746,343.83,0.44,0.38,2025-09-04,351,N,VIIRS,60,2.0NRT,292.73,5.18,D,343.83
-30.92921,152.15372,342.74,0.44,0.38,2025-09-04,351,N,VIIRS,60,2.0NRT,293.2,5.22,D,342.74
-30.92812,152.15186,346.29,0.44,0.38,2025-09-04,351,N,VIIRS,60,2.0NRT,293.84,5.18,D,346.29
-30.92652,152.14809,325.55,0.44,0.38,2025-09-04,351,N,VIIRS,60,2.0NRT,289.42,1.91,D,325.55
-30.90838,152.10498,357.03,0.44,0.38,2025-09-04,351,N,VIIRS,60,2.0NRT,300.33,20.95,D,357.03
-30.90755,152.10971,344.3,0.44,0.38,2025-09-04,351,N,VIIRS,60,2.0NRT,293.02,8.02,D,344.3
-30.90506,152.12381,339.37,0.44,0.38,2025-09-04,351,N,VIIRS,60,2.0NRT,292.39,5.51,D,339.37
-30.90484,152.1042,335.16,0.44,0.38,2025-09-04,351,N,VIIRS,60,2.0NRT,294.26,4.24,D,335.16
-30.90404,152.10878,367.0,0.44,0.38,2025-09-04,351,N,VIIRS,80,2.0NRT,296.01,21.04,D,367.0
-30.90321,152.11345,355.88,0.44,0.38,2025-09-04,351,N,VIIRS,60,2.0NRT,302.84,21.04,D,355.88
-30.90238,152.11815,345.21,0.44,0.38,2025-09-04,351,N,VIIRS,60,2.0NRT,313.32,49.57,D,345.21
-30.89795,152.12238,345.86,0.44,0.38,2025-09-04,351,N,VIIRS,60,2.0NRT,300.84,49.57,D,345.86
-30.8971,152.12718,352.85,0.44,0.38,2025-09-04,351,N,VIIRS,60,2.0NRT,304.91,31.43,D,352.85
-30.89624,152.13208,353.63,0.44,0.38,2025-09-04,351,N,VIIRS,60,2.0NRT,314.74,31.43,D,353.63
-30.89535,152.13708,349.76,0.44,0.38,2025-09-04,351,N,VIIRS,60,2.0NRT,298.34,14.7,D,349.76
-30.89357,152.1264,337.71,0.44,0.38,2025-09-04,351,N,VIIRS,60,2.0NRT,302.32,23.33,D,337.71
-30.89271,152.13121,347.7,0.44,0.38,2025-09-04,351,N,VIIRS,60,2.0NRT,292.92,23.33,D,347.7
-30.89183,152.13618,325.76,0.44,0.38,2025-09-04,351,N,VIIRS,60,2.0NRT,290.65,4.57,D,325.76
-30.88919,152.13033,352.08,0.44,0.38,2025-09-04,351,N,VIIRS,60,2.0NRT,297.14,23.33,D,352.08
-30.8883,152.13531,339.09,0.44,0.38,2025-09-04,351,N,VIIRS,60,2.0NRT,295.74,4.57,D,339.09
-30.88565,152.1295,367.0,0.44,0.38,2025-09-04,351,N,VIIRS,80,2.0NRT,300.19,163.47,D,367.0
-30.88476,152.13452,352.07,0.44,0.38,2025-09-04,351,N,VIIRS,60,2.0NRT,310.28,25.94,D,352.07
-30.88391,152.13936,337.23,0.44,0.38,2025-09-04,351,N,VIIRS,60,2.0NRT,298.25,25.94,D,337.23
-30.88122,152.13377,356.01,0.44,0.38,2025-09-04,351,N,VIIRS,60,2.0NRT,305.07,25.94,D,356.01
-30.87854,152.12813,351.49,0.44,0.38,2025-09-04,351,N,VIIRS,60,2.0NRT,307.25,20.47,D,351.49
-30.87767,152.13304,342.82,0.44,0.38,2025-09-04,351,N,VIIRS,60,2.0NRT,293.75,9.56,D,342.82
-30.87496,152.12755,342.18,0.44,0.38,2025-09-04,351,N,VIIRS,60,2.0NRT,303.21,20.47,D,342.18
-30.87411,152.13231,354.31,0.44,0.38,2025-09-04,351,N,VIIRS,60,2.0NRT,300.84,9.56,D,354.31
-30.87056,152.13161,335.58,0.44,0.38,2025-09-04,351,N,VIIRS,60,2.0NRT,300.09,4.35,D,335.58
-30.80295,152.343,332.01,0.45,0.39,2025-09-04,351,N,VIIRS,60,2.0NRT,289.73,4.18,D,332.01
-30.79213,150.78098,336.58,0.4,0.37,2025-09-04,351,N,VIIRS,60,2.0NRT,301.13,5.74,D,336.58
-30.78245,151.4353,328.05,0.42,0.37,2025-09-04,351,N,VIIRS,60,2.0NRT,289.15,3.37,D,328.05
-30.7642,152.47276,334.15,0.45,0.39,2025-09-04,351,N,VIIRS,60,2.0NRT,299.06,2.89,D,334.15
-30.76376,152.47614,346.18,0.45,0.39,2025-09-04,351,N,VIIRS,60,2.0NRT,299.64,4.23,D,346.18
-30.76336,152.47749,350.0,0.45,0.39,2025-09-04,351,N,VIIRS,60,2.0NRT,299.65,7.96,D,350.0
-30.76291,152.48077,331.33,0.45,0.39,2025-09-04,351,N,VIIRS,60,2.0NRT,297.4,4.23,D,331.33
-30.72431,147.77165,337.06,0.39,0.36,2025-09-04,351,N,VIIRS,60,2.0NRT,277.15,9.77,D,337.06
-30.72093,147.771,349.11,0.39,0.36,2025-09-04,351,N,VIIRS,60,2.0NRT,280.04,9.77,D,349.11
-30.72034,147.77513,345.72,0.39,0.36,2025-09-04,351,N,VIIRS,60,2.0NRT,279.17,14.82,D,345.72
-30.71756,147.77036,356.43,0.39,0.36,2025-09-04,351,N,VIIRS,60,2.0NRT,284.76,24.72,D,356.43
-30.71697,147.77448,348.04,0.39,0.36,2025-09-04,351,N,VIIRS,60,2.0NRT,282.14,16.5,D,348.04
-30.71478,147.76556,336.57,0.39,0.36,2025-09-04,351,N,VIIRS,60,2.0NRT,278.3,24.72,D,336.57
-30.71419,147.76971,342.0,0.39,0.36,2025-09-04,351,N,VIIRS,60,2.0NRT,288.11,24.72,D,342.0
-30.59082,150.58054,334.12,0.4,0.37,2025-09-04,351,N,VIIRS,60,2.0NRT,295.56,6.73,D,334.12
-30.58673,150.58405,367.0,0.4,0.37,2025-09-04,351,N,VIIRS,80,2.0NRT,296.44,6.99,D,367.0
-30.58335,150.58324,331.6,0.4,0.37,2025-09-04,351,N,VIIRS,60,2.0NRT,287.39,6.99,D,331.6
-30.57527,151.85492,346.75,0.43,0.38,2025-09-04,351,N,VIIRS,60,2.0NRT,296.93,6.87,D,346.75
-30.57299,153.00037,330.97,0.48,0.4,2025-09-04,351,N,VIIRS,60,2.0NRT,294.07,5.98,D,330.97
-30.5188,151.95111,338.65,0.44,0.38,2025-09-04,351,N,VIIRS,60,2.0NRT,294.38,6.41,D,338.65
-30.518,151.9557,329.98,0.44,0.38,2025-09-04,351,N,VIIRS,60,2.0NRT,293.31,4.4,D,329.98
-30.47304,152.44437,325.39,0.46,0.39,2025-09-04,351,N,VIIRS,60,2.0NRT,290.96,4.49,D,325.39
-30.44536,136.85703,338.25,0.45,0.63,2025-09-04,351,N,VIIRS,60,2.0NRT,305.49,2.27,D,338.25
-30.26605,148.57042,367.0,0.38,0.36,2025-09-04,351,N,VIIRS,80,2.0NRT,305.11,11.86,D,367.0
-30.24299,149.86488,346.98,0.39,0.36,2025-09-04,351,N,VIIRS,60,2.0NRT,304.38,10.71,D,346.98
-30.24233,149.86894,338.18,0.39,0.36,2025-09-04,351,N,VIIRS,60,2.0NRT,297.82,10.71,D,338.18
-30.24174,149.89407,344.35,0.39,0.36,2025-09-04,351,N,VIIRS,60,2.0NRT,299.9,5.7,D,344.35
-30.24168,149.873,337.72,0.39,0.36,2025-09-04,351,N,VIIRS,60,2.0NRT,298.08,15.89,D,337.72
-30.23964,149.86417,333.71,0.39,0.36,2025-09-04,351,N,VIIRS,60,2.0NRT,305.73,10.71,D,333.71
-30.23905,149.88928,341.45,0.39,0.36,2025-09-04,351,N,VIIRS,60,2.0NRT,298.18,4.98,D,341.45
-30.23898,149.86821,356.71,0.39,0.36,2025-09-04,351,N,VIIRS,60,2.0NRT,308.14,10.71,D,356.71
-30.23833,149.87227,357.09,0.39,0.36,2025-09-04,351,N,VIIRS,60,2.0NRT,310.93,15.89,D,357.09
-30.23563,149.86751,337.35,0.39,0.36,2025-09-04,351,N,VIIRS,60,2.0NRT,298.28,5.29,D,337.35
-30.19753,152.47205,335.62,0.46,0.39,2025-09-04,351,N,VIIRS,60,2.0NRT,293.95,3.35,D,335.62
-30.17775,152.49811,336.43,0.46,0.39,2025-09-04,351,N,VIIRS,60,2.0NRT,295.95,5.59,D,336.43
-30.17414,152.49722,326.7,0.46,0.39,2025-09-04,351,N,VIIRS,60,2.0NRT,291.1,2.48,D,326.7
-30.14283,150.19885,335.77,0.39,0.37,2025-09-04,351,N,VIIRS,60,2.0NRT,301.34,9.41,D,335.77
-30.14081,150.21118,344.32,0.4,0.37,2025-09-04,351,N,VIIRS,60,2.0NRT,301.16,33.17,D,344.32
-30.14014,150.21526,330.77,0.4,0.37,2025-09-04,351,N,VIIRS,60,2.0NRT,297.39,4.95,D,330.77
-30.13877,150.2023,348.83,0.39,0.37,2025-09-04,351,N,VIIRS,60,2.0NRT,298.31,9.41,D,348.83
-30.13743,150.21051,367.0,0.4,0.37,2025-09-04,351,N,VIIRS,80,2.0NRT,304.01,33.17,D,367.0
-30.13676,150.21458,337.77,0.4,0.37,2025-09-04,351,N,VIIRS,60,2.0NRT,298.38,4.95,D,337.77
-30.13472,150.20573,330.56,0.4,0.37,2025-09-04,351,N,VIIRS,60,2.0NRT,296.53,3.12,D,330.56
