id,text,cluster,cluster_size
128,"Fire detection: Lat=-31.093, Lon=152.127, Brightness=367.0, Confidence=80.0%, Date=2025-09-04 351, Satellite=N",0,2435
129,"Fire detection: Lat=-31.092, Lon=152.131, Brightness=325.3, Confidence=60.0%, Date=2025-09-04 351, Satellite=N",1,3468
130,"Fire detection: Lat=-31.088, Lon=152.135, Brightness=328.3, Confidence=60.0%, Date=2025-09-04 351, Satellite=N",0,2435
131,"Fire detection: Lat=-31.086, Lon=152.125, Brightness=345.6, Confidence=60.0%, Date=2025-09-04 351, Satellite=N",0,2435
132,"Fire detection: Lat=-31.085, Lon=152.129, Brightness=349.5, Confidence=60.0%, Date=2025-09-04 351, Satellite=N",0,2435
133,"Fire detection: Lat=-31.085, Lon=152.110, Brightness=352.5, Confidence=60.0%, Date=2025-09-04 351, Satellite=N",0,2435
134,"Fire detection: Lat=-31.084, Lon=152.134, Brightness=357.2, Confidence=60.0%, Date=2025-09-04 351, Satellite=N",0,2435
135,"Fire detection: Lat=-31.082, Lon=152.124, Brightness=354.0, Confidence=60.0%, Date=2025-09-04 351, Satellite=N",1,3468
136,"Fire detection: Lat=-31.082, Lon=152.105, Brightness=344.6, Confidence=60.0%, Date=2025-09-04 351, Satellite=N",0,2435
137,"Fire detection: Lat=-31.081, Lon=152.109, Brightness=344.2, Confidence=60.0%, Date=2025-09-04 351, Satellite=N",0,2435
138,"Fire detection: Lat=-31.080, Lon=152.133, Brightness=337.1, Confidence=60.0%, Date=2025-09-04 351, Satellite=N",0,2435
139,"Fire detection: Lat=-31.079, Lon=152.123, Brightness=329.0, Confidence=60.0%, Date=2025-09-04 351, Satellite=N",0,2435
140,"Fire detection: Lat=-30.939, Lon=152.174, Brightness=345.4, Confidence=60.0%, Date=2025-09-04 351, Satellite=N",0,2435
141,"Fire detection: Lat=-30.938, Lon=152.179, Brightness=346.4, Confidence=60.0%, Date=2025-09-04 351, Satellite=N",0,2435
142,"Fire detection: Lat=-30.936, Lon=152.169, Brightness=348.3, Confidence=60.0%, Date=2025-09-04 351, Satellite=N",0,2435
143,"Fire detection: Lat=-30.933, Lon=152.163, Brightness=327.4, Confidence=60.0%, Date=2025-09-04 351, Satellite=N",1,3468
144,"Fire detection: Lat=-30.932, Lon=152.159, Brightness=345.2, Confidence=60.0%, Date=2025-09-04 351, Satellite=N",0,2435
145,"Fire detection: Lat=-30.931, Lon=152.157, Brightness=343.8, Confidence=60.0%, Date=2025-09-04 351, Satellite=N",1,3468
146,"Fire detection: Lat=-30.929, Lon=152.154, Brightness=342.7, Confidence=60.0%, Date=2025-09-04 351, Satellite=N",0,2435
147,"Fire detection: Lat=-30.928, Lon=152.152, Brightness=346.3, Confidence=60.0%, Date=2025-09-04 351, Satellite=N",0,2435
148,"Fire detection: Lat=-30.927, Lon=152.148, Brightness=325.6, Confidence=60.0%, Date=2025-09-04 351, Satellite=N",0,2435
149,"Fire detection: Lat=-30.908, Lon=152.105, Brightness=357.0, Confidence=60.0%, Date=2025-09-04 351, Satellite=N",0,2435
150,"Fire detection: Lat=-30.908, Lon=152.110, Brightness=344.3, Confidence=60.0%, Date=2025-09-04 351, Satellite=N",0,2435
151,"Fire detection: Lat=-30.905, Lon=152.124, Brightness=339.4, Confidence=60.0%, Date=2025-09-04 351, Satellite=N",0,2435
152,"Fire detection: Lat=-30.905, Lon=152.104, Brightness=335.2, Confidence=60.0%, Date=2025-09-04 351, Satellite=N",0,2435
153,"Fire detection: Lat=-30.904, Lon=152.109, Brightness=367.0, Confidence=80.0%, Date=2025-09-04 351, Satellite=N",0,2435
154,"Fire detection: Lat=-30.903, Lon=152.113, Brightness=355.9, Confidence=60.0%, Date=2025-09-04 351, Satellite=N",0,2435
155,"Fire detection: Lat=-30.902, Lon=152.118, Brightness=345.2, Confidence=60.0%, Date=2025-09-04 351, Satellite=N",0,2435
156,"Fire detection: Lat=-30.898, Lon=152.122, Brightness=345.9, Confidence=60.0%, Date=2025-09-04 351, Satellite=N",0,2435
157,"Fire detection: Lat=-30.897, Lon=152.127, Brightness=352.9, Confidence=60.0%, Date=2025-09-04 351, Satellite=N",0,2435
158,"Fire detection: Lat=-30.896, Lon=152.132, Brightness=353.6, Confidence=60.0%, Date=2025-09-04 351, Satellite=N",0,2435
159,"Fire detection: Lat=-30.895, Lon=152.137, Brightness=349.8, Confidence=60.0%, Date=2025-09-04 351, Satellite=N",0,2435
160,"Fire detection: Lat=-30.894, Lon=152.126, Brightness=337.7, Confidence=60.0%, Date=2025-09-04 351, Satellite=N",1,3468
